source,line,static_link_pattern
client/src/components/admin/ExpenseCapture.jsx,90,/admin/job-expenses
client/src/components/admin/GlobalCommandPalette.jsx,81,/admin/schedule
client/src/components/admin/GlobalCommandPalette.jsx,82,/admin/dispatch
client/src/components/admin/GlobalCommandPalette.jsx,83,/admin/dashboard
client/src/components/admin/GlobalCommandPalette.jsx,84,/admin
client/src/components/admin/GlobalCommandPalette.jsx,85,/admin/customers
client/src/components/admin/GlobalCommandPalette.jsx,86,/admin/pipeline
client/src/components/admin/GlobalCommandPalette.jsx,87,/admin/estimates
client/src/components/admin/GlobalCommandPalette.jsx,88,/admin/seo
client/src/components/admin/GlobalCommandPalette.jsx,89,/admin/blog
client/src/components/admin/GlobalCommandPalette.jsx,90,/admin/ppc
client/src/components/admin/GlobalCommandPalette.jsx,91,/admin/social-media
client/src/components/admin/GlobalCommandPalette.jsx,92,/admin/inventory
client/src/components/admin/GlobalCommandPalette.jsx,93,/admin/revenue
client/src/components/admin/GlobalCommandPalette.jsx,94,/admin/invoices
client/src/components/admin/GlobalCommandPalette.jsx,95,/admin/tax
client/src/components/admin/GlobalCommandPalette.jsx,96,/admin/reviews
client/src/components/admin/GlobalCommandPalette.jsx,97,/admin/referrals
client/src/components/admin/GlobalCommandPalette.jsx,98,/admin/communications
client/src/components/admin/GlobalCommandPalette.jsx,99,/admin/email
client/src/components/admin/GlobalCommandPalette.jsx,100,/admin/banking
client/src/components/admin/GlobalCommandPalette.jsx,101,/admin/pricing-logic
client/src/components/admin/GlobalCommandPalette.jsx,148,/admin/pipeline
client/src/components/admin/GlobalCommandPalette.jsx,148,/admin/pipeline/
client/src/components/admin/GlobalCommandPalette.jsx,167,/admin
client/src/components/admin/GlobalCommandPalette.jsx,402,/admin/intelligence-bar/quick-actions?context=${…}
client/src/components/admin/GlobalCommandPalette.jsx,474,/admin/intelligence-bar/threads?limit=20
client/src/components/admin/GlobalCommandPalette.jsx,493,/admin/intelligence-bar/threads/${…}
client/src/components/admin/GlobalCommandPalette.jsx,509,/admin/intelligence-bar/threads/latest
client/src/components/admin/GlobalCommandPalette.jsx,543,/admin/intelligence-bar/query
client/src/components/admin/IntegrationHealthSection.jsx,76,/admin/integrations/health
client/src/components/admin/IntegrationHealthSection.jsx,89,/admin/token-health/check
client/src/components/admin/JobCostCard.jsx,49,/admin/job-costs?scheduled_service_id=${…}&limit=1
client/src/components/admin/JobCostCard.jsx,54,/admin/job-forms/submissions?scheduled_service_id=${…}
client/src/components/admin/JobCostCard.jsx,69,/admin/job-costs/recalc/${…}
client/src/components/admin/JobFormSection.jsx,54,/admin/job-forms/templates/by-service/${…}
client/src/components/admin/MobileNewCustomerSheet.jsx,106,${…}/admin/customers/quick-add
client/src/components/admin/MobileServiceLibrary.jsx,42,/admin/services?${…}
client/src/components/admin/MobileServiceLibrary.jsx,440,/admin/discounts
client/src/components/admin/MobileServiceLibrary.jsx,631,/admin/discounts
client/src/components/admin/MobileServiceLibrary.jsx,631,/admin/discounts/${…}
client/src/components/admin/MobileServiceLibrary.jsx,1030,/admin/services
client/src/components/admin/MobileServiceLibrary.jsx,1030,/admin/services/${…}
client/src/components/admin/MobileServiceLibrary.jsx,1056,/admin/services/${…}
client/src/components/admin/NotificationBell.jsx,67,/admin/notifications/unread-count
client/src/components/admin/NotificationBell.jsx,76,/admin/notifications?limit=25
client/src/components/admin/NotificationBell.jsx,125,/admin/notifications/${…}/read
client/src/components/admin/NotificationBell.jsx,140,/admin/notifications/read-all
client/src/components/admin/NotificationBell.jsx,377,/admin/communications#notifications
client/src/components/admin/OwedCommitmentsSummary.jsx,43,/admin/call-recordings/commitments/open?customer_id=${…}&limit=${…}
client/src/components/admin/OwedCommitmentsSummary.jsx,70,/admin/call-recordings/commitments/${…}
client/src/components/admin/OwedCommitmentsSummary.jsx,106,/admin/communications#tab=owed
client/src/components/admin/PendingActionsCard.jsx,184,/admin/intelligence-bar/confirm-action
client/src/components/admin/PendingActionsCard.jsx,184,/admin/intelligence-bar/cancel-action
client/src/components/admin/PortalUsageTab.jsx,123,/admin/usage/summary?days=${…}&scope=${…}
client/src/components/admin/PricingLogicPanel.jsx,79,/admin/pricing-config/changelog${…}
client/src/components/admin/PricingLogicPanel.jsx,513,/admin/pricing-proposals?status=${…}&limit=50
client/src/components/admin/PricingLogicPanel.jsx,602,/admin/pricing-proposals/${…}/${…}
